Year,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1970,-44.63,5.34,9.6,-11.55,27.58,-26.43,-28.7,-24.34,-18.39,-1.14,-59.52,-32.91,-3,-8.23,-19.38,9.18,-11.21,-20.86,-9.06,-2.29,-5.09,-16.02,-5.84,-32.99,-8.49,4.07,5.35,-10.99,42.04,3.92,17.76,-6.47,-35.4,-24.44,-40.48,-85.41,-38.64,-26.03,-7.38,-23.64,-2.81,-26.98,-5.81,-28.66,8.54,-1.56,-23.24,-13.51,-41.84
1971,-7.51,17.77,43.18,14.08,15.99,27.15,21.45,16.07,19.16,26.01,29.22,39.57,24.73,18.81,15.99,15.36,22.44,20.78,6.47,12.46,19.18,28.34,37.47,14.97,35.5,35.14,-13,-8.62,-9.89,8.05,4.94,27.43,17.2,12.11,9.76,-5.78,21.84,21.18,13.76,12.93,53.22,17.97,31.47,24.33,15.75,30.82,14.43,23.2,0.05
1972,21.14,1.68,2.56,5.16,3.83,4.67,5.65,0.27,13.23,-10.72,-25.62,13.19,17.26,14.28,6,-1.54,-2.51,1.07,8.38,14.02,14.6,28.25,5.28,18.64,-0.05,13.34,25.28,11.55,5.36,20.13,11.39,13.2,-15.36,-7.84,-4.2,-53.37,14.86,13.98,17.5,6.53,-4.96,-0.31,-9.73,-2.97,14.15,13.5,-20.69,2.54,-11.24
1973,-25,-23.19,-41.31,-27.27,-20.18,-59.86,-49.08,-42.42,-42.98,-53.23,-54.41,-41.88,-29.43,-25.81,-49.57,-52.3,-37.15,-48.73,-9.87,-26.49,-29.41,-35.81,-48.35,-44.1,4.78,-39.12,67.58,46.87,23.61,10.45,-15.62,-44.79,-53.33,-42.88,-37.16,-55.55,-36.58,-37.33,-27.76,-38.93,-38.54,-46.37,-48.95,-53.03,-32.16,-36.78,-55.19,-41.98,-49.49
1974,-8.46,-6.43,-31.51,-36.34,-10.83,-34.52,-17.45,-16.16,-28.02,-26.95,-32.37,-22.77,-21.23,-1.58,-8.62,-33.57,-23.95,-28.06,3.73,-20.51,-23.42,-21.22,-24.78,-11.39,-24.01,-20.14,-18.48,-25.99,58.78,-21.18,-17.83,-23.28,-22.87,-26.61,-44.65,-38.24,-38.5,-31.59,-15.43,-2.97,-17.09,-23.95,-28.07,-28.21,-25.59,-26.27,-52.7,-31.5,-26.73
1975,34.55,75.67,100.59,32.23,46.1,94.59,81.11,54.94,71.99,114.32,74.18,51.85,55.52,56.87,94.86,92.21,77.9,81.69,39.6,54.79,61.46,78.95,79.12,82.03,41.64,65.87,2.4,59.71,43.91,38.91,48.85,86.69,61.1,64.16,94.05,54.08,95.21,59.41,59.88,57.87,55.3,68.8,94.84,113.2,32.57,35.46,35.79,41.45,63.52
1976,11.12,27.54,39.72,49.78,40.13,62.89,42.63,64.73,43.01,37.09,55.71,46.11,19.85,53.3,59.88,33.03,65.84,41.96,35.23,76.2,62.27,51.18,59.37,64.86,50.06,39.22,15.26,40.1,64.69,65.54,36.61,54.11,45.53,62.33,59.01,54.93,61.55,58.14,41.62,53.74,42.68,42.1,42.42,39.1,46.52,54.31,51.77,48.14,51.03
1977,35.55,12.65,26.09,-4.37,13.77,6.02,45.81,50.62,13.03,19.79,56.15,24.57,18.47,12.41,20.11,6.38,22.15,27.92,1.26,21.95,22.08,32.27,9.06,23.59,37.34,12.29,13.67,-5.47,10.35,33.22,11.78,35.44,38.27,41.6,33.85,20.78,25.23,40.74,13.19,9.99,15.08,16.41,19.78,34.89,20.02,33.93,31.14,22.83,33.41
1978,43.62,19.82,35.43,19.48,16.69,9.47,45.53,31.5,14.99,14.62,57.19,26.25,31.63,14.99,34.59,31.45,23.76,31.15,19.91,12.37,27.59,37.22,16.57,70.39,24.32,16.12,-0.02,15.61,-1.04,6.83,-1.05,35.35,36.95,27.33,72.22,61.96,46.66,41.79,33.17,20.24,15.02,17.96,24.72,38.02,21.52,31.49,46.97,23.51,33.61
1979,47.75,28.03,10.89,35.64,23.61,15.28,42.14,27.96,37,14.75,57.62,29.67,34.67,55.02,38.6,9.33,36.55,38.96,45.67,47.11,40.36,39.62,7.8,53.4,51.43,72.68,199.35,102.28,62.23,155.29,18.04,54.56,26.03,43.4,48.44,68.27,55.21,69.66,32.3,25.53,31.13,37.53,24.91,21.54,20.93,47.04,53.14,26.93,47.71
1980,49.09,19.17,21.17,26.93,49.69,33.55,26.44,21.16,29.28,33.6,84.14,56.22,45.62,36.09,28.87,6.19,28.08,41.72,29.79,36.64,34,59.22,23.84,64.72,41.83,46.27,85.4,25.23,46.21,102.49,16.3,33.68,43.04,60.19,58.33,122.55,78.18,77.46,26.54,12.02,26.98,30.89,22.45,24.62,18.72,16.97,61.88,34.68,60.85
1981,2.79,12.26,28.58,-1.2,30.35,11.72,0.85,20.22,10.27,26.1,4.5,-4.24,18.92,-1.92,13.22,16.05,1.75,-6.88,-2.2,-2.83,-4.76,-3.46,7.29,-11.12,-14.62,-11,-48.85,-38.01,-14.38,-36.97,12.84,21.74,21.15,5.13,-11.69,-19.36,-8.19,-14.06,7.17,14.38,2.35,0.78,15.61,5.31,8.85,14.07,-1.16,19.08,-3.45
1982,30.66,46.53,51.01,62.29,54.08,41.94,57.59,42.83,39.18,33.88,55.11,53.67,47.51,24.46,30.84,39.56,34.3,55.69,-4.91,7.6,8.5,34.54,62.23,41.82,-5.18,68.43,35.38,-1.33,-33.15,-42.04,27.85,32.29,75.55,54.25,25.53,50.76,45.56,39.3,30.48,39,31.13,26.94,62.58,50.05,42.64,24.45,14.28,28.39,16.66
1983,17.88,39.18,66.39,69.07,29.44,49.66,33.66,34.61,42.84,41.86,26.15,8.99,20.95,43.27,47.1,74.45,37.84,34.84,53.45,25.13,33.56,15.9,48.31,46.89,33.69,37.56,21.66,42.54,51.88,22.49,25.53,20.44,29.51,30.19,20.18,29.4,39.87,33.35,50.61,51.23,38.15,48.07,54.62,39.36,44.4,68.29,35.78,43.11,40.62
