DATE,TB3MS
1/1/1970,6.39
1/1/1971,4.33
1/1/1972,4.07
1/1/1973,7.03
1/1/1974,7.83
1/1/1975,5.78
1/1/1976,4.97
1/1/1977,5.27
1/1/1978,7.19
1/1/1979,10.07
1/1/1980,11.43
1/1/1981,14.03
1/1/1982,10.61
1/1/1983,8.61
1/1/1984,9.52
1/1/1985,7.48
1/1/1986,5.98
1/1/1987,5.78
1/1/1988,6.67
1/1/1989,8.11
1/1/1990,7.49
1/1/1991,5.38
1/1/1992,3.43
1/1/1993,3
1/1/1994,4.25
1/1/1995,5.49
1/1/1996,5.01
1/1/1997,5.06
1/1/1998,4.78
1/1/1999,4.64
1/1/2000,5.82
1/1/2001,3.39
1/1/2002,1.6
1/1/2003,1.01
1/1/2004,1.37
1/1/2005,3.15
1/1/2006,4.73
1/1/2007,4.35
1/1/2008,1.37
1/1/2009,0.15
1/1/2010,0.14
1/1/2011,0.05
1/1/2012,0.09
1/1/2013,0.06
1/1/2014,0.03
